valid_time,temp,wspd,prcp,pres,week
2019-05-04 04:00:00,4.7796326,1.5766274,0.0038146973,941.62,18
2019-05-04 05:00:00,6.0743103,1.4658087,0.038146973,941.8666,18
2019-05-04 06:00:00,6.9760437,1.2042694,0.13828278,941.7573,18
2019-05-04 07:00:00,8.009247,0.8499265,0.071525574,941.997,18
2019-05-04 08:00:00,8.976135,1.0948459,0.1320839,941.52765,18
2019-05-04 09:00:00,9.697479,1.3783243,0.034332275,941.41315,18
2019-05-04 10:00:00,10.93808,2.0695498,0.08678436,940.73065,18
2019-05-04 11:00:00,11.469635,2.2093167,0.06484985,939.90625,18
2019-05-04 12:00:00,11.916809,2.8290446,0.05054474,939.7547,18
2019-05-04 13:00:00,11.595428,3.6260128,0.04673004,939.3103,18
2019-05-04 14:00:00,11.535889,3.7769027,0.034332275,938.9437,18
2019-05-04 15:00:00,11.678925,3.2470548,0.029563904,938.53625,18
2019-05-04 16:00:00,11.393341,2.8050606,0.0009536743,938.2681,18
2019-05-04 17:00:00,10.753998,2.2828145,0.0,938.03564,18
2019-05-04 18:00:00,9.353058,1.7947974,0.0,938.0861,18
2019-05-04 19:00:00,8.07486,1.7682672,0.0,938.3103,18
2019-05-04 20:00:00,6.9527893,1.7020037,0.00047683716,938.35376,18
2019-05-04 21:00:00,6.117157,1.690535,0.00333786,938.29987,18
2019-05-04 22:00:00,5.7014465,1.372334,0.0047683716,938.02826,18
2019-05-04 23:00:00,5.43515,1.1668195,0.012397766,938.0111,18
2019-05-05 00:00:00,6.186493,1.2832335,0.032901764,937.9839,18
2019-05-05 01:00:00,6.8038025,1.8132337,0.0333786,938.3158,18
2019-05-05 02:00:00,6.9721375,2.0009491,0.02193451,938.70984,18
2019-05-05 03:00:00,6.560974,2.9006093,0.05722046,939.0048,18
2019-05-05 04:00:00,5.7869873,4.54601,0.15926361,939.61237,18
2019-05-05 05:00:00,4.6926575,4.7773476,0.25510788,940.11127,18
2019-05-05 06:00:00,3.9502563,4.4611216,0.3066063,940.8209,18
2019-05-05 07:00:00,3.5208435,4.067699,0.5722046,941.40607,18
2019-05-05 08:00:00,3.3626404,3.952925,0.4749298,941.7431,18
2019-05-05 09:00:00,3.3200073,3.869865,0.52928925,942.05096,18
2019-05-05 10:00:00,3.3277283,3.0685565,0.68092346,942.4277,18
2019-05-05 11:00:00,3.311798,3.550715,0.8125305,942.72675,18
2019-05-05 12:00:00,3.4411316,3.5944045,0.8792877,943.08954,18
2019-05-05 13:00:00,3.608612,3.881117,0.87451935,943.1972,18
2019-05-05 14:00:00,3.4907532,4.2233257,0.8687973,943.22266,18
2019-05-05 15:00:00,3.3191223,4.4112906,0.9069443,943.59937,18
2019-05-05 16:00:00,3.0544739,4.5539637,0.8621216,943.46875,18
2019-05-05 17:00:00,2.7808533,4.4074435,0.7791519,943.6916,18
2019-05-05 18:00:00,2.534729,4.0654864,0.6971359,943.995,18
2019-05-05 19:00:00,2.5715942,3.9371433,0.4916191,944.48236,18
2019-05-05 20:00:00,2.625824,3.859484,0.45728683,944.512,18
2019-05-05 21:00:00,2.835022,3.8148096,0.40340424,944.36487,18
2019-05-05 22:00:00,3.356598,3.144195,0.32520294,944.32935,18
2019-05-05 23:00:00,3.3215637,3.314166,0.19741058,944.0097,18
2019-05-06 00:00:00,3.367035,3.479578,0.12922287,943.58014,19
2019-05-06 01:00:00,3.4899902,3.683701,0.084877014,943.59845,19
2019-05-06 02:00:00,3.5141907,4.0108895,0.054359436,943.46484,19
2019-05-06 03:00:00,3.3830261,4.075519,0.03862381,943.2955,19
2019-05-06 04:00:00,3.3546753,4.0552087,0.02002716,943.4489,19
2019-05-06 05:00:00,3.8044739,4.3019176,0.015735626,943.6453,19
2019-05-06 06:00:00,4.3624573,4.2776194,0.017642975,943.52264,19
2019-05-06 07:00:00,4.663666,4.872631,0.081539154,943.7425,19
2019-05-06 08:00:00,4.591217,5.190007,0.051498413,943.66547,19
2019-05-06 09:00:00,4.571533,5.370166,0.13446808,943.73016,19
2019-05-06 10:00:00,4.999756,4.3998523,0.056266785,944.09595,19
2019-05-06 11:00:00,5.830536,5.129027,0.22602081,944.127,19
2019-05-06 12:00:00,5.612091,5.152914,0.16212463,944.0572,19
2019-05-06 13:00:00,5.380829,5.314967,0.1320839,944.28174,19
