year,month,week,temp,wspd,prcp,pres
2023,6,22,14.148271,2.1561732,0.009343028,952.0218
2023,6,23,16.036203,1.7685773,0.26992673,950.8128
2023,6,24,13.385503,1.9702499,0.07170155,949.47144
2023,6,25,19.381493,1.9316226,0.19986573,952.098
2023,6,26,16.496826,2.620138,0.056318443,948.2728
2023,7,26,18.55408,1.5058417,0.32314658,942.86127
2023,7,27,18.72933,2.0170317,0.010794117,952.4311
2023,7,28,20.398409,2.315118,0.11253641,951.1461
2023,7,29,18.69341,2.1800764,0.110004626,949.05365
2023,7,30,17.480562,2.3198543,0.29313847,944.0128
2023,7,31,17.413599,2.119731,0.03415346,947.20953
2023,8,31,18.640463,2.3376436,0.21431844,941.74023
2023,8,32,15.875188,2.0218086,0.11757158,952.12665
2023,8,33,22.003147,1.6254671,0.09046566,954.9325
2023,8,34,21.438883,1.653784,0.106692314,951.1076
2023,8,35,18.299326,1.6243349,0.5075435,942.58344
2023,9,35,15.525377,1.9756876,0.30085775,954.5101
2023,9,36,16.405867,1.6231426,0.006664367,958.10583
2023,9,37,17.618324,1.8729208,0.1190986,952.54834
2023,9,38,16.381018,3.3297267,0.379253,949.155
2023,9,39,15.2967615,1.927458,0.05663766,958.0558
2024,5,18,15.414836,2.6456716,0.007836024,947.63684
2024,5,19,11.889859,2.1508029,0.1053356,952.185
2024,5,20,12.642561,2.3235462,0.045543626,949.992
2024,5,21,16.217619,1.9776657,0.12203058,950.041
2024,5,22,16.40112,1.9146695,0.1316746,947.2846
2024,6,22,16.449501,2.8323944,0.061690807,945.6423
2024,6,23,17.251278,1.4466951,0.28118348,948.06836
2024,6,24,14.493383,2.0939364,0.23752168,947.05237
2024,6,25,20.245249,2.235212,0.13787973,950.8297
2024,6,26,20.610994,2.2246277,0.050195627,950.3749
2024,7,27,18.061737,2.5671751,0.13200442,945.82916
2024,7,28,22.787125,1.5581347,0.119856425,951.02826
2024,7,29,21.443104,1.8440927,0.11905035,950.9938
2024,7,30,19.402426,2.27953,0.11001882,949.9363
2024,7,31,17.689,2.9042795,0.0,952.95734
2024,8,31,17.369959,1.633327,0.23633242,945.3825
2024,8,32,18.194136,2.0066297,0.19061282,950.6415
2024,8,33,21.130648,1.4698908,0.068468705,949.8423
2024,8,34,19.712824,1.9201213,0.095713705,949.9018
2024,8,35,21.031298,1.9763067,0.002572934,955.1722
2024,9,35,19.204214,1.6086315,0.009934108,954.1355
2024,9,36,20.07529,2.135142,0.002611251,952.2287
2024,9,37,14.823955,2.0962262,0.2818051,942.3242
2024,9,38,13.177729,2.0310307,0.08596693,956.07477
2024,9,39,14.00069,3.2100892,0.06380819,947.121
2024,9,40,6.745468,2.3548992,0.006278356,955.75464
2025,5,18,14.76615,2.2920585,0.051716965,947.9973
2025,5,19,7.201376,2.6511006,0.077943005,949.12714
2025,5,20,7.3438163,2.681887,0.15927212,945.4576
2025,5,21,10.058259,2.412432,0.24540935,947.1611
2025,5,22,13.691366,2.9690907,0.16299884,950.10657
2025,6,22,18.378504,1.7164202,0.18590689,951.8029
2025,6,23,19.16883,2.0327566,0.13735464,949.18134
2025,6,24,14.3216305,2.6320179,0.018298626,955.278
2025,6,25,16.632864,2.9356873,0.022644088,955.13934
2025,6,26,20.277939,3.3206387,0.062687054,950.5041
2025,6,27,19.341597,4.3219543,0.0015497208,952.60034
2025,7,27,19.709814,2.1732187,0.029997693,953.26227
2025,7,28,16.091213,3.2208924,0.36745697,945.0969
2025,7,29,17.643164,2.0226667,0.18803562,946.91174
2025,7,30,20.07234,1.6710753,0.1940415,945.62805
2025,7,31,16.268948,2.5470235,0.12386838,945.8951
2025,8,31,17.866072,1.7189248,0.26302868,947.7063
2025,8,32,17.90277,2.0249949,0.086642444,955.0625
2025,8,33,19.55737,1.8447244,0.00076918374,954.51526
2025,8,34,14.431357,2.3747687,0.121545225,947.40576
2025,8,35,17.689482,2.7999866,0.052452087,947.3122
2025,9,36,18.315823,1.8420871,0.052185286,951.15344
2025,9,37,16.005041,2.1504326,0.21736111,950.7202
2025,9,38,15.537229,2.754735,0.03159614,954.7581
2025,9,39,10.943379,2.692644,0.1541064,955.5964
2025,9,40,6.669147,2.374559,0.30488768,955.0258
