year,week,temp,tmin,tmax,rhum,wspd,wpgt,pres
2019,22,17.4,10.5,24.0,75.5,4.65,18.5,1020.7
2019,23,20.37142857142857,14.014285714285714,26.24285714285714,67.42857142857143,6.357142857142857,23.02857142857143,1016.2428571428571
2019,24,24.8,17.428571428571427,31.542857142857144,62.142857142857146,6.428571428571429,25.400000000000002,1014.9285714285714
2019,25,19.571428571428573,15.171428571428569,24.957142857142856,80.42857142857143,5.1000000000000005,17.2,1017.0857142857143
2019,26,22.52857142857143,16.0,28.285714285714285,61.714285714285715,6.685714285714285,25.414285714285715,1020.7285714285715
2019,27,20.514285714285712,13.828571428571427,26.61428571428571,53.42857142857143,6.385714285714286,23.285714285714285,1014.2571428571429
2019,28,15.685714285714285,10.842857142857143,20.642857142857142,61.42857142857143,7.528571428571429,27.0,1012.657142857143
2019,29,17.942857142857143,11.414285714285715,24.914285714285715,65.14285714285714,5.542857142857144,20.62857142857143,1014.9714285714286
2019,30,20.61428571428571,15.5,25.74285714285714,72.57142857142857,4.685714285714285,19.057142857142853,1014.657142857143
2019,31,20.5,16.257142857142856,26.014285714285712,70.85714285714286,5.485714285714286,21.157142857142855,1011.157142857143
2019,32,21.142857142857142,15.485714285714286,27.7,67.28571428571429,5.6000000000000005,21.442857142857143,1013.4
2019,33,18.071428571428573,12.757142857142856,23.857142857142858,77.0,4.485714285714286,17.2,1015.6857142857143
2019,34,19.657142857142855,15.042857142857143,25.857142857142858,77.71428571428571,5.142857142857143,23.02857142857143,1023.0571428571428
2019,35,21.7,15.785714285714286,30.2,73.42857142857143,4.5285714285714285,18.785714285714285,1019.7714285714285
2019,36,16.242857142857144,11.385714285714286,21.571428571428573,75.85714285714286,4.428571428571429,18.52857142857143,1019.1857142857143
2019,37,15.171428571428573,8.914285714285715,21.985714285714288,72.85714285714286,4.914285714285714,22.485714285714288,1024.4
2019,38,11.1,6.214285714285714,16.914285714285715,72.57142857142857,6.742857142857143,27.25714285714286,1021.1428571428571
2019,39,13.457142857142857,8.471428571428572,19.014285714285712,76.71428571428571,5.0857142857142845,18.514285714285712,1013.9285714285714
2019,40,17.0,12.1,21.1,57.0,18.3,61.1,1003.4
